Gene,Description,padj_maSigPro,clusters_maSigPro,Fold_change_h_vs_c,padj_h_vs_c,Fold_change_p_vs_c,padj_p_vs_c,Fold_change_a_vs_c,padj_a_vs_c,Fold_change_r_vs_c,padj_r_vs_c,Fold_change_a_vs_r,padj_a_vs_r,Fold_change_h_vs_a,padj_h_vs_a
TCAL_03123,Similar to CTSB Cathepsin B (Sus scrofa),5.79E-13,7,0.353274174,0.004707254,0.386240546,0.000473434,0.462995789,4.64E-06,0.617491701,6.32E-11,NA,NA,NA,NA
TCAL_03124,Similar to CBS Cystathionine beta-synthase (Macaca fascicularis),2.29E-05,7,NA,NA,0.372651949,0.002508761,0.293859087,0.025967728,0.283962485,0.036655989,NA,NA,NA,NA
TCAL_03125,Protein of unknown function,6.21E-09,9,NA,NA,NA,NA,NA,NA,-0.904634446,1.01E-08,-1.092296678,1.13E-12,NA,NA
TCAL_03140,Similar to AAEL006169 Lysosomal aspartic protease (Aedes aegypti),0.001844478,6,NA,NA,NA,NA,-0.37678372,0.014632884,-0.304406108,0.081949299,NA,NA,NA,NA
TCAL_03142,Similar to stnB Protein stoned-B (Drosophila melanogaster),0.001924816,2,NA,NA,NA,NA,0.308071488,0.028796044,NA,NA,NA,NA,NA,NA
TCAL_03143,Similar to MCT7 Tryptase (Sus scrofa),7.56E-06,3,NA,NA,0.465569168,0.001026317,0.372290951,0.013165055,0.379199068,0.010768191,NA,NA,NA,NA
TCAL_03147,"Similar to ABCB10 ATP-binding cassette sub-family B member 10, mitochondrial (Homo sapiens)",0.000376369,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03162,Similar to Sdc Syndecan (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,-0.181342539,0.08701293,NA,NA,NA,NA
TCAL_03163,Similar to Myo6 Unconventional myosin-VI (Mus musculus),2.51E-05,8,NA,NA,NA,NA,NA,NA,-0.948442794,0.000549361,-0.651556341,0.064411065,NA,NA
TCAL_03168,Similar to RAB23 Ras-related protein Rab-23 (Homo sapiens),NA,NA,NA,NA,NA,NA,-0.541495627,0.034950706,NA,NA,NA,NA,NA,NA
TCAL_03171,isoform A,5.34E-05,1,NA,NA,NA,NA,NA,NA,0.337255808,0.077606478,NA,NA,NA,NA
TCAL_03190,Similar to Uro Uricase (Drosophila pseudoobscura pseudoobscura),NA,NA,NA,NA,NA,NA,0.234329075,0.036639957,NA,NA,NA,NA,NA,NA
TCAL_03200,Protein of unknown function,1.83E-25,1,NA,NA,0.690221523,0.013812721,0.93086901,6.24E-05,1.794552372,2.12E-19,0.863683362,9.25E-05,-1.18764994,1.21E-06
TCAL_03202,Similar to Unc-89 Obscurin (Drosophila melanogaster),0.001036052,6,NA,NA,NA,NA,-0.21567291,0.044798064,NA,NA,NA,NA,NA,NA
TCAL_03209,Similar to Gulp1 PTB domain-containing engulfment adapter protein 1 (Rattus norvegicus),0.000632138,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03213,Similar to alkbh5 RNA demethylase ALKBH5 (Xenopus tropicalis),NA,NA,NA,NA,NA,NA,0.543359296,0.033565918,NA,NA,NA,NA,NA,NA
TCAL_03218,Similar to CDC16 Cell division cycle protein 16 homolog (Homo sapiens),NA,NA,NA,NA,NA,NA,-0.294369792,0.093668624,NA,NA,NA,NA,NA,NA
TCAL_03221,Similar to setd7 Histone-lysine N-methyltransferase SETD7 (Halocynthia roretzi),9.71E-06,6,NA,NA,-0.687059336,0.00536379,-0.574135717,0.021539065,NA,NA,NA,NA,NA,NA
TCAL_03225,Similar to wge Protein winged eye (Drosophila melanogaster),4.54E-05,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.536535442,0.00209399
TCAL_03230,Protein of unknown function,5.25E-06,8,NA,NA,NA,NA,NA,NA,-0.40312578,0.005213836,NA,NA,NA,NA
TCAL_03236,Similar to Gbs-76A Glycogen-binding subunit 76A (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,0.296544656,0.044426736,NA,NA,NA,NA
TCAL_03243,Similar to CYP15A1 Methyl farnesoate epoxidase (Diploptera punctata),8.42E-05,8,NA,NA,NA,NA,NA,NA,-0.759008375,0.01887609,NA,NA,NA,NA
TCAL_03248,Similar to meigo Solute carrier family 35 member B1 homolog (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,-0.244305399,0.070156156,NA,NA,NA,NA,NA,NA
TCAL_03260,Similar to Sell L-selectin (Mus musculus),NA,NA,NA,NA,0.992239462,6.58E-05,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03274,Similar to Myo1b Unconventional myosin-Ib (Mus musculus),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09388744,0.023840143,NA,NA
TCAL_03282,ejaculatory bulb-specific 3-like,2.60E-07,7,NA,NA,1.110605557,0.00956592,1.522945874,1.88E-05,1.206477771,0.001927622,NA,NA,-1.045847716,0.039143589
TCAL_03293,Similar to ZNF609 Zinc finger protein 609 (Homo sapiens),8.53E-07,5,NA,NA,NA,NA,0.443804956,0.00950387,NA,NA,NA,NA,-0.539277591,0.004691904
TCAL_03296,Similar to SEMA-1A Semaphorin-1A (Schistocerca americana),9.75E-09,1,NA,NA,NA,NA,NA,NA,1.0626884,0.090926821,NA,NA,NA,NA
TCAL_03297,Similar to Anpep Aminopeptidase N (Rattus norvegicus),0.000137979,8,-0.622470956,0.027926577,-0.564262961,0.034634141,-0.514445099,0.045298498,-0.672598257,0.003189132,NA,NA,NA,NA
TCAL_03301,Similar to Tle3 Transducin-like enhancer protein 3 (Rattus norvegicus),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754220941,0.073771912,NA,NA
TCAL_03302,Similar to Tle4 Transducin-like enhancer protein 4 (Mus musculus),1.12E-08,1,NA,NA,NA,NA,NA,NA,NA,NA,0.580081749,0.081150144,NA,NA
TCAL_03305,Similar to CG6966 Protein fem-1 homolog CG6966 (Drosophila melanogaster),3.94E-06,2,NA,NA,0.297092931,0.076771304,0.413465937,0.001508487,NA,NA,-0.389820727,0.004523937,NA,NA
TCAL_03309,Similar to Flo1 Flotillin-1 (Drosophila melanogaster),0.002836721,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03328,Protein of unknown function,2.66E-05,8,NA,NA,NA,NA,NA,NA,-0.327373678,0.001238788,-0.233560027,0.064669133,NA,NA
TCAL_03344,Similar to Ptchd3 Patched domain-containing protein 3 (Mus musculus),4.35E-09,8,NA,NA,-0.644549649,1.18E-05,-0.511052393,0.000680995,NA,NA,NA,NA,NA,NA
TCAL_03357,Similar to clcD Chloride channel protein D (Dictyostelium discoideum),0.000133304,8,NA,NA,NA,NA,-0.227276275,0.061730544,-0.248824074,0.035017416,NA,NA,NA,NA
TCAL_03369,Protein of unknown function,3.13E-05,1,NA,NA,NA,NA,NA,NA,0.794800837,0.06126161,NA,NA,NA,NA
TCAL_03370,Similar to Endocuticle structural glycoprotein ABD-4 (Locusta migratoria),7.99E-10,8,NA,NA,NA,NA,-0.451789609,0.017596236,-0.711989564,1.05E-05,NA,NA,NA,NA
TCAL_03371,"Similar to PHKG2 Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (Bos taurus)",0.000288661,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03375,Protein of unknown function,1.09E-27,9,NA,NA,-0.619061643,0.007209876,-0.55881416,0.014849618,-2.275417431,1.10E-39,-1.716603271,3.20E-22,NA,NA
TCAL_03376,Protein of unknown function,1.32E-08,9,NA,NA,NA,NA,NA,NA,-1.125611636,6.09E-09,-1.135869227,4.91E-09,NA,NA
TCAL_03377,Protein of unknown function,0.001294775,2,NA,NA,1.235628677,0.003439145,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03381,Protein of unknown function,1.16E-05,2,NA,NA,NA,NA,0.552695978,0.028226329,NA,NA,-0.650199335,0.007973073,NA,NA
TCAL_03382,"Similar to tpsA Alpha,alpha-trehalose-phosphate synthase [UDP-forming] A (Dictyostelium discoideum)",NA,NA,NA,NA,NA,NA,NA,NA,0.28936069,0.093607652,NA,NA,NA,NA
TCAL_03392,Similar to sll0005 Uncharacterized protein sll0005 (Synechocystis sp. (strain PCC 6803 / Kazusa)),0.003276176,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03398,Similar to rbm8a RNA-binding protein 8A (Salmo salar),NA,NA,NA,NA,NA,NA,0.397952702,0.066510524,NA,NA,NA,NA,NA,NA
TCAL_03405,Similar to Nphs1 Nephrin (Rattus norvegicus),3.55E-05,5,NA,NA,NA,NA,NA,NA,NA,NA,-0.442802116,0.015657103,-0.490734377,0.020656994
TCAL_03421,Similar to CYP15A1 Methyl farnesoate epoxidase (Diploptera punctata),6.09E-09,2,0.463016637,0.014136119,0.569507834,0.000210572,0.600878795,4.08E-05,NA,NA,-0.439666979,0.009902094,NA,NA
TCAL_03424,Similar to Mgll Monoglyceride lipase (Mus musculus),NA,NA,NA,NA,-0.273227793,0.08573387,NA,NA,-0.293332746,0.035991723,NA,NA,NA,NA
TCAL_03431,"Similar to bun Protein bunched, class 1/class 3/D/E isoforms (Drosophila melanogaster)",NA,NA,NA,NA,NA,NA,0.213627372,0.093844443,NA,NA,NA,NA,NA,NA
TCAL_03439,Similar to Hsp67Bb Heat shock protein 67B2 (Drosophila melanogaster),6.06E-24,2,0.754976013,2.35E-06,0.947995298,1.04E-10,1.420282841,5.09E-25,NA,NA,-1.315891613,2.10E-21,-0.665306828,0.00020925
TCAL_03455,Similar to aifm2 Apoptosis-inducing factor 2 (Xenopus tropicalis),4.22E-11,8,NA,NA,NA,NA,-0.258168589,0.045513155,-0.584579248,3.00E-09,-0.32641066,0.008652488,NA,NA
TCAL_03467,Similar to Rdl Gamma-aminobutyric acid receptor subunit beta (Musca domestica),2.66E-09,1,0.285964362,0.000537929,0.26299776,0.001203041,0.344229094,1.60E-06,0.374956336,8.48E-08,NA,NA,NA,NA
TCAL_03472,Similar to lact-2 Beta-lactamase domain-containing protein 2 (Caenorhabditis elegans),9.59E-07,4,NA,NA,NA,NA,NA,NA,NA,NA,0.432429361,0.046406103,NA,NA
TCAL_03480,Similar to COX15 Cytochrome c oxidase assembly protein COX15 homolog (Homo sapiens),3.88E-06,7,0.350176969,0.028936821,NA,NA,0.496623053,1.98E-05,0.459211236,0.000113939,NA,NA,NA,NA
TCAL_03482,"Similar to Gsr Glutathione reductase, mitochondrial (Mus musculus)",5.88E-16,3,0.265087444,0.000545777,0.302072659,1.19E-05,0.415180621,2.02E-11,0.318426402,1.30E-06,NA,NA,NA,NA
TCAL_03517,Similar to Mgst3 Microsomal glutathione S-transferase 3 (Mus musculus),3.97E-13,1,NA,NA,0.344592606,0.000144684,0.297880511,0.001396037,0.486568777,1.41E-09,NA,NA,NA,NA
TCAL_03519,Similar to CG13624 Protein CREBRF homolog (Drosophila melanogaster),5.40E-15,9,NA,NA,NA,NA,NA,NA,-0.561679389,5.57E-12,-0.453484992,1.09E-07,NA,NA
TCAL_03554,Similar to NEK7 Serine/threonine-protein kinase Nek7 (Homo sapiens),5.13E-09,1,NA,NA,NA,NA,-0.444379554,0.015720894,NA,NA,0.708802929,3.70E-06,NA,NA
TCAL_03559,Protein of unknown function,0.000947446,5,NA,NA,NA,NA,0.79289237,0.038497957,NA,NA,NA,NA,NA,NA
TCAL_03574,Similar to NOX5 NADPH oxidase 5 (Homo sapiens),6.10E-06,1,NA,NA,NA,NA,NA,NA,1.021456536,0.054140173,1.313420361,0.006920302,NA,NA
TCAL_03589,Similar to DNAJC24 DnaJ homolog subfamily C member 24 (Bos taurus),0.000665627,3,NA,NA,1.083559858,0.008246712,0.901833641,0.034782443,NA,NA,NA,NA,NA,NA
TCAL_03591,Similar to Hsf Heat shock factor protein (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,0.763231639,0.032114083,NA,NA,-0.778247834,0.036242412,NA,NA
TCAL_03630,Similar to Mcm8 DNA helicase MCM8 (Mus musculus),0.003126493,4,NA,NA,NA,NA,NA,NA,NA,NA,0.322026986,0.028901315,NA,NA
TCAL_03637,Similar to Cdc42 Cdc42 homolog (Drosophila pseudoobscura pseudoobscura),1.18E-06,1,NA,NA,NA,NA,NA,NA,NA,NA,0.543945646,0.00357665,NA,NA
TCAL_03643,Similar to Pepck Phosphoenolpyruvate carboxykinase [GTP] (Drosophila melanogaster),1.09E-06,2,NA,NA,NA,NA,0.654814218,3.08E-07,NA,NA,-0.684626427,6.69E-08,-0.390403292,0.05039853
TCAL_03651,Similar to ELMO2 Engulfment and cell motility protein 2 (Homo sapiens),0.000109864,2,NA,NA,0.417320535,0.099989531,0.448046455,0.038063854,NA,NA,NA,NA,NA,NA
TCAL_03674,"Similar to GRIN2D Glutamate receptor ionotropic, NMDA 2D (Homo sapiens)",2.66E-05,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03713,Similar to CG42342 Collagen alpha chain CG42342 (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,1.610150028,0.070312531,NA,NA,NA,NA,NA,NA
TCAL_03736,Similar to SK Small conductance calcium-activated potassium channel protein (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.469613607,0.009266835,NA,NA
TCAL_03741,Similar to FBL4 F-box/LRR-repeat protein 4 (Arabidopsis thaliana),0.000114237,4,NA,NA,NA,NA,NA,NA,NA,NA,0.696471324,0.094418389,NA,NA
TCAL_03750,Protein of unknown function,NA,NA,NA,NA,NA,NA,0.301949359,0.069172949,NA,NA,NA,NA,NA,NA
TCAL_03760,Similar to Gns N-acetylglucosamine-6-sulfatase (Mus musculus),6.52E-07,5,NA,NA,NA,NA,NA,NA,-0.559249501,0.012136289,-0.719276764,0.000334963,NA,NA
TCAL_03767,Similar to grtp1a Growth hormone-regulated TBC protein 1-A (Danio rerio),0.000386375,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03782,Similar to MCC Colorectal mutant cancer protein (Homo sapiens),2.03E-07,2,NA,NA,NA,NA,0.479432656,0.009740385,NA,NA,-0.853925077,5.12E-08,NA,NA
TCAL_03784,Similar to sgmA Sphingomyelin phosphodiesterase A (Dictyostelium discoideum),0.000408879,8,NA,NA,NA,NA,-0.16053893,0.055182093,-0.16635179,0.045667774,NA,NA,NA,NA
TCAL_03794,Similar to setd7 Histone-lysine N-methyltransferase SETD7 (Xenopus tropicalis),6.56E-10,1,NA,NA,0.536159446,0.088840496,0.813312392,0.000359186,0.912472999,2.69E-05,NA,NA,NA,NA
TCAL_03807,Similar to MKP-4 Dual specificity protein phosphatase MPK-4 (Drosophila melanogaster),NA,NA,NA,NA,0.74562534,0.089622115,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03810,Similar to ATG7 Ubiquitin-like modifier-activating enzyme ATG7 (Gallus gallus),0.001130339,6,NA,NA,NA,NA,NA,NA,-0.193713701,0.097516581,NA,NA,NA,NA
TCAL_03814,Similar to SLC25A15 Mitochondrial ornithine transporter 1 (Homo sapiens),3.45E-06,7,NA,NA,NA,NA,0.288758197,0.041772712,0.328528969,0.014093599,NA,NA,NA,NA
TCAL_03822,Similar to TDA6 Putative vacuolar protein sorting-associated protein TDA6 (Saccharomyces cerevisiae (strain ATCC 204508 / S288c)),NA,NA,NA,NA,NA,NA,NA,NA,-0.425755231,0.063115529,NA,NA,NA,NA
TCAL_03844,Similar to PDCD4 Programmed cell death protein 4 (Gallus gallus),0.001016328,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.718831202,0.065747394,NA,NA
TCAL_03845,Similar to AFDN Afadin (Homo sapiens),0.000383132,2,NA,NA,NA,NA,0.214915268,0.087669154,NA,NA,NA,NA,NA,NA
TCAL_03848,Similar to Utp14a U3 small nucleolar RNA-associated protein 14 homolog A (Mus musculus),NA,NA,NA,NA,NA,NA,-0.207935609,0.049502935,NA,NA,NA,NA,NA,NA
TCAL_03854,Similar to CHORD Cysteine and histidine-rich domain-containing protein (Drosophila melanogaster),1.84E-05,3,NA,NA,0.174985138,0.077557298,0.19759581,0.018169526,NA,NA,NA,NA,NA,NA
TCAL_03858,Similar to DWF5 7-dehydrocholesterol reductase (Arabidopsis thaliana),0.000243076,4,NA,NA,NA,NA,-0.320351077,0.006566909,NA,NA,NA,NA,NA,NA
TCAL_03871,Protein of unknown function,0.000441116,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03876,Similar to SLC6A1 Sodium- and chloride-dependent GABA transporter 1 (Homo sapiens),0.00027142,2,NA,NA,NA,NA,0.406056398,0.002365333,NA,NA,-0.284397293,0.084474103,NA,NA
TCAL_03886,Similar to HEBP2 Heme-binding protein 2 (Homo sapiens),2.24E-07,8,NA,NA,-0.395813671,0.011191296,NA,NA,-0.714175388,5.00E-09,-0.48815378,0.000443183,NA,NA
TCAL_03888,Similar to HEBP2 Heme-binding protein 2 (Homo sapiens),7.33E-08,6,NA,NA,NA,NA,NA,NA,-0.439269036,4.33E-07,-0.360953812,0.000116278,NA,NA
TCAL_03907,"Similar to PLB1 Phospholipase B1, membrane-associated (Homo sapiens)",7.50E-05,1,NA,NA,NA,NA,NA,NA,1.015823033,0.06126161,NA,NA,NA,NA
TCAL_03912,Similar to Hydramacin-1 (Hydra vulgaris),0.001446719,7,NA,NA,0.859255841,0.041448289,0.801631972,0.046275226,0.89811204,0.018290538,NA,NA,NA,NA
TCAL_03931,Similar to Kdm4B Probable lysine-specific demethylase 4B (Drosophila melanogaster),0.001153078,3,NA,NA,NA,NA,0.399006742,0.019622376,0.325158654,0.098642125,NA,NA,NA,NA
TCAL_03932,Protein of unknown function,NA,NA,NA,NA,NA,NA,-0.305419439,0.0359938,NA,NA,NA,NA,NA,NA
TCAL_03935,Similar to ETNPPL Ethanolamine-phosphate phospho-lyase (Homo sapiens),1.01E-09,9,NA,NA,NA,NA,NA,NA,-0.471630717,3.30E-07,-0.393832317,6.81E-05,NA,NA
TCAL_03936,Similar to ABRA Actin-binding Rho-activating protein (Homo sapiens),0.001044034,4,NA,NA,NA,NA,NA,NA,NA,NA,0.397355411,0.018267394,NA,NA
TCAL_03937,Similar to Adcy8 Adenylate cyclase type 8 (Mus musculus),0.002786791,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03939,Similar to Mtmr9 Myotubularin-related protein 9 (Mus musculus),0.000168073,6,NA,NA,NA,NA,NA,NA,-0.491911996,0.002696031,NA,NA,NA,NA
TCAL_03942,"Similar to bre-4 Beta-1,4-N-acetylgalactosaminyltransferase bre-4 (Caenorhabditis briggsae)",0.00028567,1,NA,NA,NA,NA,0.263694558,0.070258801,NA,NA,NA,NA,NA,NA
TCAL_03944,Similar to Zw Glucose-6-phosphate 1-dehydrogenase (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,-0.278263371,0.033123871,NA,NA,NA,NA,NA,NA
TCAL_03946,Similar to hsp70 Heat shock 70 kDa protein (Oncorhynchus tshawytscha),NA,NA,NA,NA,-0.301592251,0.069595019,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_03947,Similar to cry-dash Cryptochrome DASH (Danio rerio),7.07E-05,6,NA,NA,-0.425939236,0.044118154,-0.477185779,0.009843411,-0.384982373,0.064073616,NA,NA,NA,NA
TCAL_03957,Similar to Ampd2 AMP deaminase 2 (Rattus norvegicus),NA,NA,NA,NA,NA,NA,0.249875515,0.09071437,NA,NA,NA,NA,NA,NA
TCAL_03982,"Similar to AADAT Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (Bos taurus)",0.000178353,7,NA,NA,NA,NA,NA,NA,0.316241905,0.002444116,NA,NA,NA,NA
TCAL_03990,Similar to Napg Gamma-soluble NSF attachment protein (Mus musculus),0.000567271,2,NA,NA,NA,NA,NA,NA,NA,NA,-0.384582087,0.039125741,NA,NA
TCAL_03991,Similar to ZNHIT6 Box C/D snoRNA protein 1 (Homo sapiens),0.000723295,8,NA,NA,NA,NA,-0.35159188,0.007354151,NA,NA,NA,NA,NA,NA
TCAL_03992,Similar to Crystallin J1A (Tripedalia cystophora),7.05E-05,8,NA,NA,NA,NA,NA,NA,-0.382904394,0.061472015,NA,NA,NA,NA
TCAL_04004,Similar to MFSD6 Major facilitator superfamily domain-containing protein 6 (Sus scrofa),3.16E-05,8,NA,NA,-0.3440136,0.019257082,NA,NA,-0.266724132,0.09233241,NA,NA,NA,NA
TCAL_04010,Similar to PTPN14 Tyrosine-protein phosphatase non-receptor type 14 (Homo sapiens),1.35E-10,1,NA,NA,NA,NA,NA,NA,0.327169508,4.25E-05,0.227519968,0.017453351,NA,NA
TCAL_04018,uncharacterized oxidoreductase dhs-27-like,NA,NA,NA,NA,-0.65400358,0.040810822,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_04019,Protein of unknown function,NA,NA,NA,NA,NA,NA,0.181498714,0.088724397,NA,NA,NA,NA,NA,NA
TCAL_04022,Similar to ALKBH1 Nucleic acid dioxygenase ALKBH1 (Homo sapiens),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45646916,0.022773477,NA,NA
TCAL_04037,Similar to Irs1 Insulin receptor substrate 1 (Rattus norvegicus),6.17E-10,9,NA,NA,NA,NA,NA,NA,-0.480801328,6.56E-06,-0.633821648,2.96E-10,NA,NA
TCAL_04047,Similar to LIPE Hormone-sensitive lipase (Sus scrofa),2.15E-06,6,NA,NA,NA,NA,-0.272528155,0.023129863,-0.386483066,0.000183654,NA,NA,NA,NA
TCAL_04051,potassium channel subfamily K member 1-like,6.68E-09,2,NA,NA,0.457440714,0.030614875,0.576393863,0.001022007,NA,NA,-0.69660264,3.36E-05,NA,NA
TCAL_04052,proline-rich extensin EPR1,0.027450411,1,NA,NA,NA,NA,3.254382684,0.054364194,NA,NA,NA,NA,NA,NA
TCAL_04053,Similar to YMR099C Glucose-6-phosphate 1-epimerase (Saccharomyces cerevisiae (strain ATCC 204508 / S288c)),0.002264784,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_04065,Protein of unknown function,0.00326914,5,NA,NA,NA,NA,NA,NA,NA,NA,-0.361108857,0.029280867,NA,NA
TCAL_04073,Protein of unknown function,8.16E-07,5,NA,NA,NA,NA,NA,NA,-0.542120131,0.041441929,-0.780204946,0.000527284,-0.787999474,0.002721677
TCAL_04080,Similar to AAEL009094 WSCD family member AAEL009094 (Aedes aegypti),0.002044397,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_04082,Similar to MVP Major vault protein (Strongylocentrotus purpuratus),1.65E-05,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_04088,Protein of unknown function,NA,NA,NA,NA,0.988046772,0.070026921,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_04102,Similar to Hsp90b1 Endoplasmin (Rattus norvegicus),3.17E-08,4,NA,NA,-0.280474123,0.021666362,-0.332612914,0.001785066,NA,NA,0.362773927,0.000540291,NA,NA
TCAL_04108,Similar to ATP13A3 Probable cation-transporting ATPase 13A3 (Homo sapiens),5.21E-09,6,NA,NA,-0.265058996,0.075077176,NA,NA,-0.466455683,1.71E-05,NA,NA,NA,NA
TCAL_04128,Protein of unknown function,0.000227266,6,NA,NA,NA,NA,-0.433753577,0.000840474,-0.315308166,0.036569118,NA,NA,NA,NA
TCAL_04158,Similar to SH3BP5L SH3 domain-binding protein 5-like (Bos taurus),6.71E-05,7,NA,NA,0.440848631,0.070801233,0.518423864,0.010610482,NA,NA,NA,NA,NA,NA
TCAL_04178,Similar to Atxn1l Ataxin-1-like (Mus musculus),1.06E-14,4,NA,NA,-0.529379025,0.008767096,-0.579878806,0.001659676,NA,NA,0.646138538,0.000308322,NA,NA
TCAL_04186,Similar to TAF5 Transcription initiation factor TFIID subunit 5 (Homo sapiens),0.001163104,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_04214,Similar to SLC4A2 Anion exchange protein 2 (Cavia porcellus),0.000362712,8,NA,NA,-0.409175137,0.000765626,NA,NA,-0.365435529,0.002696031,NA,NA,NA,NA
TCAL_04250,Similar to Xkr4 XK-related protein 4 (Mus musculus),1.11E-05,2,NA,NA,NA,NA,0.504411493,2.64E-06,NA,NA,-0.284927752,0.038731829,NA,NA
TCAL_04252,Protein of unknown function,0.000990361,5,NA,NA,NA,NA,NA,NA,NA,NA,-0.755944474,0.093109167,NA,NA
TCAL_04259,Protein of unknown function,1.04E-08,2,NA,NA,0.664433633,0.022432601,0.911260163,8.94E-05,NA,NA,-0.852284234,0.000393949,-0.59417416,0.0998017
TCAL_04275,Similar to Pxt Chorion peroxidase (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,0.150869078,0.064633414,NA,NA,NA,NA
TCAL_04280,Similar to mntH Divalent metal cation transporter MntH (Agrobacterium fabrum (strain C58 / ATCC 33970)),NA,NA,NA,NA,NA,NA,0.244433159,0.097263106,NA,NA,-0.25919818,0.086877475,NA,NA
TCAL_04284,Similar to BCAR3 Breast cancer anti-estrogen resistance protein 3 (Bos taurus),0.000194204,5,NA,NA,NA,NA,0.636582582,0.06722886,NA,NA,-0.752192007,0.027004336,NA,NA
TCAL_04285,kelch 5,3.93E-12,8,NA,NA,NA,NA,-0.37535809,4.16E-06,-0.392296768,1.13E-06,NA,NA,0.227105292,0.095431863
TCAL_04287,Similar to LamC Lamin-C (Drosophila melanogaster),1.43E-07,2,NA,NA,0.285185338,0.055297015,0.42681969,0.000191442,NA,NA,-0.447025902,8.95E-05,NA,NA
TCAL_04288,Similar to Luciferin 4-monooxygenase (Photuris pensylvanica),NA,NA,NA,NA,NA,NA,NA,NA,-0.309769528,0.05148968,NA,NA,NA,NA
TCAL_04289,monocarboxylate transporter 9-like,0.000389135,9,NA,NA,NA,NA,NA,NA,-1.337799858,0.003775654,-0.979307477,0.097289275,NA,NA
TCAL_04290,Similar to Luciferin 4-monooxygenase (Photinus pyralis),3.52E-11,7,NA,NA,0.625171763,0.008829184,0.856215913,2.15E-05,1.113254094,3.03E-09,NA,NA,NA,NA
TCAL_04312,Protein of unknown function,0.000106143,6,NA,NA,NA,NA,NA,NA,-0.779663869,0.002444116,NA,NA,NA,NA
TCAL_04316,"Similar to Gls Glutaminase kidney isoform, mitochondrial (Mus musculus)",8.42E-09,5,NA,NA,NA,NA,NA,NA,-0.319463901,0.056942514,-0.481997133,0.00044954,-0.387078219,0.039284666
TCAL_04320,Protein of unknown function,0.000308592,2,NA,NA,0.37476208,0.07349833,0.396311875,0.031097792,NA,NA,NA,NA,NA,NA
TCAL_04324,Similar to NKAIN Sodium/potassium-transporting ATPase subunit beta-1-interacting protein (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,-0.405413191,0.085593909,NA,NA,0.414796988,0.093193398,NA,NA
TCAL_04329,Similar to igdb-2 Ig-like and fibronectin type-III domain-containing protein 2 (Caenorhabditis elegans),0.000128397,7,NA,NA,NA,NA,0.330740286,0.044186814,0.35644386,0.02509946,NA,NA,NA,NA
TCAL_04333,Similar to ncs-2 Neuronal calcium sensor 2 (Caenorhabditis elegans),4.73E-05,4,NA,NA,NA,NA,-0.636664594,0.004373024,NA,NA,0.540275397,0.034232953,NA,NA
TCAL_04344,Protein of unknown function,0.004194349,6,NA,NA,NA,NA,NA,NA,-0.507213944,0.016002396,NA,NA,NA,NA
TCAL_04353,Similar to nAChRalpha1 Acetylcholine receptor subunit alpha-like 1 (Drosophila melanogaster),8.02E-07,6,NA,NA,NA,NA,NA,NA,-0.55262221,0.00022004,-0.34510455,0.086824111,NA,NA
